tiers_key,ca,TOTMVTC,TOTMVTD,TOTMVTCnet,TOTMVTDnet,ENG,MontImp,encours,Encours_Moyen_Debiteur,Encours_Moyen_crediteur,NBECHEANCE,Code_Classe,Code_Profession,Profession,Code_Activite_Economique,Activite_Economique,Code_secteur_activite,Secteur_Activite,Ville,ancienneté,Cluster
73723,139474.073,0.0,-403.66,0.0,-378.35,0,0.0,0.0,1776.032964,0.0,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,MEB99,ETUDES DE MARCHE ET SONDAGES,ME,"ACTIVITES SPECIALISEES, SCIENTIFIQUES ET TECHNIQUES",TUNIS CH.DE GAU,17,0
794024,36221.682,36221.68,-35676.54,36221.68,-35664.87,0,0.0,0.0,1832.3621925,6697.962898,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,NFD99,AUTRES ACTIVITES DE SOUTIEN AUX ENTREPRISES N.C.A.,NF,ACTIVITES DE SERVICES ADMINISTRATIFS ET DE SOUTIEN,MONTPLAISIR,9,0
157436,625153.631,634595.79,-613237.15,634595.79,-607178.98,"11140322,178",11140322.178,0.0,479953.666128,111468.093002,541.0,5.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,IAA99,HOTELS ET HEBERGEMENT SIMILAIRE,IA,HEBERGEMENT ET RESTAURATION,SOUSSE,3,0
308121,139474.073,3485166.04,-3473246.26,2971426.56,-3521324.16,0,0.0,0.0,1832.3621925,0.0,69.0,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,CTB99,FABRICATION DE MACHINES DIVERSES D'USAGE GENERAL,CT,INDUSTRIE MANUFACTURIERE,LE KEF,13,0
430710,139474.073,0.0,-420.66,0.0,-240.86,0,0.0,0.0,758.348216,364.190342,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,GBH99,COMMERCE DE GROS NON SPECIALISE,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,SOUSSE,2,0
1244886,139474.073,315.86,-89.76,315.86,-88.91,0,0.0,0.0,65.403372,0.0,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,JEA02,CONSEIL INFORMATIQUE,JE,INFORMATION ET COMMUNICATION,BAB BHAR,16,0
1586608,139474.073,15479.67,-15422.75,15479.67,-14087.18,0,0.0,0.0,1019.556545,0.0,4.0,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,MBB99,CONSEIL POUR LES AFFAIRES ET AUTRES CONSEILS DE GESTION,MB,"ACTIVITES SPECIALISEES, SCIENTIFIQUES ET TECHNIQUES",LE KRAM,13,0
1065482,139474.073,339.34,-86.89,339.34,-85.94,0,0.0,0.0,26.449682,0.0,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,SOUSSE,7,1
226278,215276.96,245276.96,-242071.22,215276.96,-241479.1,30000,0.0,30000.0,2035.154747,2311.217038,17.0,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,NCA01,ACTIVITES DES AGENCES DE VOYAGE,NC,ACTIVITES DE SERVICES ADMINISTRATIFS ET DE SOUTIEN,DAR CHAABANE ELFEHRI,4,0
1655429,95988.091,103262.61,-97086.62,103253.09,-96732.9,"1932,3",0.0,0.0,1259.108328,9443.849284,134.0579981290926,0.0,P0512,"ARCHITECTES, INGENIEURS ET ASSIMILES ",FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,AKOUDA,25,1
1697582,139474.073,3485166.04,-3473246.26,2971426.56,-3521324.16,0,0.0,0.0,3752.463035,0.0,134.0579981290926,0.0,P1802,OUVRIERS DANS L'INDUSTRIE,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,SOUSSE,7,1
1323129,139474.073,48957.46,-30342.08,48957.46,-30320.6,0,0.0,0.0,1348.604627,21978.003369,134.0579981290926,0.0,P9904,SANS PROFESSION,CYA02,REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,SEJNANE,11,1
311454,139474.073,554.78,-249.4,554.78,-243.72,0,0.0,0.0,379.698564,0.0,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,AAA07,CULTURE DE LEGUMINEUSES ET DE GRAINES OLEAGINEUSES,AA,"AGRICULTURE, SYLVICULTURE ET PECHE",KAIROUAN,6,0
838772,1781571.112,2516273.45,-2697415.97,2316273.45,-2692508.8,200000,0.0,200000.0,1832.3621925,769208.04332,385.0,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,CSA01,"FABRICATION DE MOTEURS, GENERATRICES ET TRANSFORMATEURS ELECTRIQUES",CS,INDUSTRIE MANUFACTURIERE,CITE EL MAHRAJENE,2,0
1430390,374505.0,376414.52,-375685.12,376414.52,-375113.16,0,0.0,0.0,14164.145265,19502.524945,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,ESSAKIA,2,1
302316,139474.073,3485166.04,-3473246.26,2971426.56,-3521324.16,0,0.0,0.0,1832.3621925,364.190342,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,SOUSSE,11,1
306697,139474.073,0.0,-512.84,0.0,-204.52,0,0.0,0.0,508.335197,364.190342,134.0579981290926,1.0,P1799,AUTRES SERVICES DIRECTS AUX PARTICULIERS,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,KAIROUAN,13,1
716050,1099130.792,1099130.79,-1059628.34,1099130.79,-1058897.17,0,0.0,0.0,313.605317,18560.681339,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,COC02,"FABRICATION DE BRIQUES, TUILES ET PRODUITS DE CONSTRUCTION, EN TERRE CUITE",CO,INDUSTRIE MANUFACTURIERE,NABEUL,13,0
1206350,139474.073,343940.04,-361.48,343940.04,-0.0,0,0.0,0.0,338996.205917,0.0,579.0,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,IAA99,HOTELS ET HEBERGEMENT SIMILAIRE,IA,HEBERGEMENT ET RESTAURATION,SOUSSE,4,0
371546,101278.643,111600.56,-111704.12,101278.64,-111675.16,0,0.0,0.0,1672.911328,1105.352323,134.0579981290926,0.0,P0507,NOTAIRES,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,TEBOURBA,26,1
488350,139474.073,0.0,-142.8,0.0,-142.8,0,0.0,0.0,1832.3621925,107.752975,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,IAA99,HOTELS ET HEBERGEMENT SIMILAIRE,IA,HEBERGEMENT ET RESTAURATION,MONASTIR,28,0
112896,139474.073,0.0,-1034.22,0.0,-82.35,"7778126,965",7778126.965,0.0,1112.396178,0.0,178.0,5.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,IAA99,HOTELS ET HEBERGEMENT SIMILAIRE,IA,HEBERGEMENT ET RESTAURATION,SOUSSE,3,0
451765,139474.073,0.0,-456.89,0.0,-426.42,0,0.0,0.0,2131.811898,364.190342,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,RDA99,Autres activités liées au sport,RD,"ARTS, SPECTACLES ET ACTIVITES RECREATIVES",JENDOUBA,32,0
1246898,139474.073,3485166.04,-3473246.26,2971426.56,-3521324.16,0,0.0,0.0,1832.3621925,364.190342,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,SOUSSE,11,1
424204,139474.073,3485166.04,-3473246.26,2971426.56,-3521324.16,0,0.0,0.0,1832.3621925,19.978115,104.0,0.0,P1901,CHAUFFEURS DE TAXI ET CONDUCTEURS D'AUTOMOBILE,HAC02,TRANSPORTS DE VOYAGEURS PAR TAXIS ET PAR LOUAGE,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,MENZEL BOURGUIBA,9,1
767088,346220.569,646390.34,-672278.89,349390.34,-666572.46,"66216,055",0.0,0.0,69029.488668,1400.671326,167.0,0.0,P0999,AUTRES ENTREPRENEURS INDIVIDUELS ARTISANS,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,TAZARKA,14,1
462677,139474.073,3485166.04,-3473246.26,2971426.56,-3521324.16,0,0.0,0.0,108.918772,364.190342,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,CEB01,TISSAGE INDUSTRIEL,CE,INDUSTRIE MANUFACTURIERE,BOU SALEM,14,0
1625255,4806.0,27004.15,-32211.23,12004.15,-31639.94,"13626,716",0.0,0.0,27.500446,1948.671531,123.0,0.0,P1501,EMPLOYES DE BUREAUX,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,KEBILI,14,1
1682744,11733.15,11733.15,-10173.33,11733.15,-10157.75,0,0.0,0.0,4.786764,1329.974723,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,JDD99,AUTRES ACTIVITES DE TELECOMMUNICATION,JD,INFORMATION ET COMMUNICATION,TUNIS BELVEDERE,19,0
679012,139474.073,0.0,-326.54,0.0,-317.96,0,0.0,0.0,647.623597,0.0,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,NCA01,ACTIVITES DES AGENCES DE VOYAGE,NC,ACTIVITES DE SERVICES ADMINISTRATIFS ET DE SOUTIEN,HAMMAMET,20,0
1382447,139474.073,0.0,-1885.79,0.0,-1788.22,"1892501,766",1892501.766,0.0,263182.131167,0.0,107.0,5.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,CNB02,FABRICATION D'EMBALLAGES EN MATIERES PLASTIQUES,CN,INDUSTRIE MANUFACTURIERE,SOUSSE,4,0
114836,44893.547,44893.55,-44852.79,44893.55,-44845.33,0,0.0,0.0,46.2018,393.295783,134.0579981290926,0.0,P1799,AUTRES SERVICES DIRECTS AUX PARTICULIERS,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,G,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,SOUSSE EZZOUHOUR,4,1
114497,319.65,719.65,-131.74,719.65,-130.17,0,0.0,0.0,98.042506,9.863013,134.0579981290926,0.0,P9904,SANS PROFESSION,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,SOUSSE,2,1
299748,139474.073,0.0,-266.53,0.0,-179.81,"33164,397",33164.397,0.0,4297.760312,0.0,3.0,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,MEB99,ETUDES DE MARCHE ET SONDAGES,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,SOUSSE,3,0
1553105,139474.073,0.0,-289.47,0.0,-275.24,0,0.0,0.0,1012.87343,364.190342,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,CPD02,METALLURGIE DE L'ALUMINIUM,CP,INDUSTRIE MANUFACTURIERE,BIR EL KASSAA,14,0
1280673,139474.073,0.0,-6886.34,0.0,-6299.7,"21153,771",21153.771,0.0,44505.051101,154.378575,173.0,0.0,P1904,CONDUCTEURS DANS LE TRANSPORT DE MARCHANDISES,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,SOLIMAN,14,1
528716,353945.169,2341455.29,-2183719.18,517263.3,-2165837.56,"1979154,096",158357.073,0.0,273924.093219,2759.776136,248.0,1.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,CEB01,TISSAGE INDUSTRIEL,CE,INDUSTRIE MANUFACTURIERE,KSAR HELAL,5,0
1009518,139474.073,2211.56,-4164.22,2211.56,-4142.8,0,0.0,0.0,1832.3621925,1886.514164,134.0579981290926,0.0,P0907,ARTISANS DANS LA METALLURGIE ET L'AUTOMOBILE ET ASSIMILES,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,TATAOUINE,11,1
790441,1929161.606,3036913.66,-2975507.7,2028583.09,-2974665.76,"982215,482",0.0,0.0,7514.187578,80230.868728,233.0,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,GBF99,COMMERCE DE GROS D'AUTRES MACHINES ET EQUIPEMENTS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,TUNIS BELVEDERE,2,0
