tiers_key,ca,TOTMVTC,TOTMVTD,TOTMVTCnet,TOTMVTDnet,ENG,MontImp,encours,Encours_Moyen_Debiteur,Encours_Moyen_crediteur,NBECHEANCE,Code_Classe,Code_Profession,Profession,Code_Activite_Economique,Activite_Economique,Code_secteur_activite,Secteur_Activite,Ville,ancienneté,Cluster
1544633,16513.5,29908.0,-33624.65,29908.0,-33537.07,"4649,871",0.0,0.0,17.952424,2194.348276,116.0,0.0,P1402,CADRES COMMERCIAUX,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,ESSALTANIA,9,1
1544661,1090737.71,1148895.57,-1148852.6,1099895.57,-1147564.49,"106366,722",0.0,0.0,1832.3621925,95177.093791,153.0,0.0,P0504,PHARMACIENS LIBERAUX,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,SFAX HACHED,9,1
1544772,478397.46,478397.46,-496558.5,478397.46,-496366.74,0,0.0,0.0,846.67172,11111.955816,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,CAG01,BOULANGERIE ET BOULANGERIE-PATISSERIE,CA,INDUSTRIE MANUFACTURIERE,SIDI MANSOUR,23,0
1544813,5490.0,5490.0,-5475.26,5490.0,-5474.74,0,0.0,0.0,14.190205,105.5568,134.0579981290926,0.0,P0902,ARTISANS DU BOIS ET ASSIMILES,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,KSIBET EL MEDIOUNI,25,1
1544859,3000.0,18841.53,-20103.53,4535.92,-19707.8,"31292,307",0.0,0.0,137.15166,182.988435,156.0,0.0,P1001,COMMERCANT DANS L'ALIMENTATION GENERALE,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,KSIBET EL MEDIOUNI,24,1
1544862,139474.073,38.27,-0.0,38.27,-0.0,0,0.0,0.0,1832.3621925,1098.06566,134.0579981290926,0.0,P0903,"ARTISANS DE L'HABILLEMENT, DU TEXTILE ET ASSIMILES",FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,MERKEZ GADDOUR,25,1
1544902,139474.073,0.0,-333.65,0.0,-206.77,0,0.0,0.0,514.254205,364.190342,134.0579981290926,0.0,P1099,AUTRES COMMERCANTS ET ASSIMILES,CAA03,PREPARATION DE PRODUITS À BASE DE VIANDE,CA,INDUSTRIE MANUFACTURIERE,MERKEZ GADDOUR,24,0
1544999,61245.0,61948.79,-59539.86,61948.79,-58044.3,"22977,733",0.0,0.0,2654.062449,765.719709,73.0,0.0,P0904,ARTISANS DU CUIR ET DE LA CHAUSSURE,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,SAKIET EZZIT,5,1
1545059,74100.0,74100.0,-75236.78,74100.0,-75093.3,"12192,82",0.0,0.0,381.395509,590.381906,65.0,0.0,P0999,AUTRES ENTREPRENEURS INDIVIDUELS ARTISANS,CQH06,FABRICATION D'AUTRES OUVRAGES METALLIQUES N.C.A.,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,MERKEZ GADDOUR,5,1
1545092,14234.853,16951.22,-19043.38,16951.22,-18922.46,0,0.0,0.0,1037.137479,168.812142,37.0,0.0,P1001,COMMERCANT DANS L'ALIMENTATION GENERALE,FAB99,CONSTRUCTION DE BATIMENTS RESIDENTIELS ET NON RESIDENTIELS,GB,COMMERCE; REPARATION D'AUTOMOBILES ET DE MOTOCYCLES,KSIBET EL MEDIOUNI,21,1
